PDB_ID	RELEASE_DATE	SELECTED_SOURCE	REVISION_ORDINAL	REVISION_DATE	LEGACY_ORIGINAL_DATE	SOURCES_AGREE
1RMN	1995-01-26	_pdbx_audit_revision_history.revision_date	1	1995-01-26		
1RNA	1991-04-15	_pdbx_audit_revision_history.revision_date	1	1991-04-15		
1RNG	1995-12-07	_pdbx_audit_revision_history.revision_date	1	1995-12-07		
1RNK	1995-02-27	_pdbx_audit_revision_history.revision_date	1	1995-02-27		
1ROQ	2004-05-18	_pdbx_audit_revision_history.revision_date	1	2004-05-18		
1RRR	1998-04-22	_pdbx_audit_revision_history.revision_date	1	1998-04-22		
1RXA	1996-10-20	_pdbx_audit_revision_history.revision_date	1	1996-10-20		
1RXB	1996-08-26	_pdbx_audit_revision_history.revision_date	1	1996-08-26		
1S2F	2004-08-31	_pdbx_audit_revision_history.revision_date	1	2004-08-31		
1S34	2004-08-31	_pdbx_audit_revision_history.revision_date	1	2004-08-31		
1S9L	2004-06-29	_pdbx_audit_revision_history.revision_date	1	2004-06-29		
1S9S	2004-04-06	_pdbx_audit_revision_history.revision_date	1	2004-04-06		
1SA9	2004-05-18	_pdbx_audit_revision_history.revision_date	1	2004-05-18		
1SAQ	2004-05-18	_pdbx_audit_revision_history.revision_date	1	2004-05-18		
1SCL	1995-01-26	_pdbx_audit_revision_history.revision_date	1	1995-01-26		
1SDR	1995-02-27	_pdbx_audit_revision_history.revision_date	1	1995-02-27		
1SLO	1996-12-07	_pdbx_audit_revision_history.revision_date	1	1996-12-07		
1SLP	1997-04-21	_pdbx_audit_revision_history.revision_date	1	1997-04-21		
1SY4	2004-04-06	_pdbx_audit_revision_history.revision_date	1	2004-04-06		
1SYZ	2004-11-09	_pdbx_audit_revision_history.revision_date	1	2004-11-09		
1SZY	2004-04-20	_pdbx_audit_revision_history.revision_date	1	2004-04-20		
1T0D	2004-06-15	_pdbx_audit_revision_history.revision_date	1	2004-06-15		
1T0E	2004-06-15	_pdbx_audit_revision_history.revision_date	1	2004-06-15		
1T1O	2004-06-15	_pdbx_audit_revision_history.revision_date	1	2004-06-15		
1T28	2004-08-10	_pdbx_audit_revision_history.revision_date	1	2004-08-10		
1T4X	2004-08-03	_pdbx_audit_revision_history.revision_date	1	2004-08-03		
1TBK	2005-03-01	_pdbx_audit_revision_history.revision_date	1	2005-03-01		
1TFN	1997-02-12	_pdbx_audit_revision_history.revision_date	1	1997-02-12		
1TJZ	2004-09-28	_pdbx_audit_revision_history.revision_date	1	2004-09-28		
1TLR	1997-11-12	_pdbx_audit_revision_history.revision_date	1	1997-11-12		
1TN1	1987-01-15	_pdbx_audit_revision_history.revision_date	1	1987-01-15		
1TN2	1986-10-24	_pdbx_audit_revision_history.revision_date	1	1986-10-24		
1TOB	1997-06-16	_pdbx_audit_revision_history.revision_date	1	1997-06-16		
1TRA	1986-07-14	_pdbx_audit_revision_history.revision_date	1	1986-07-14		
1TUT	2004-12-28	_pdbx_audit_revision_history.revision_date	1	2004-12-28		
1TXS	2004-10-05	_pdbx_audit_revision_history.revision_date	1	2004-10-05		
1U2A	1998-03-04	_pdbx_audit_revision_history.revision_date	1	1998-03-04		
1U3K	2005-07-12	_pdbx_audit_revision_history.revision_date	1	2005-07-12		
1U9S	2004-10-26	_pdbx_audit_revision_history.revision_date	1	2004-10-26		
1UTS	2004-02-12	_pdbx_audit_revision_history.revision_date	1	2004-02-12		
1UUD	2004-03-15	_pdbx_audit_revision_history.revision_date	1	2004-03-15		
1UUI	2004-02-12	_pdbx_audit_revision_history.revision_date	1	2004-02-12		
1UUU	1998-02-25	_pdbx_audit_revision_history.revision_date	1	1998-02-25		
1VOP	1997-12-24	_pdbx_audit_revision_history.revision_date	1	1997-12-24		
