PDB_ID	CIF_PATH	FILE_SIZE_BYTES	SHA256	EXCLUDED
1K4B	/storage9920/home/tinghao.xia/pdb_data/1k4b.cif	817680	6c3d5abf7ce19151fec9e8e9f32239582b92fbf611930f82b523d307444ff6a0	False
1K5I	/storage9920/home/tinghao.xia/pdb_data/1k5i.cif	663243	a1585fc262f11c49ab61507b76d1ccdda5eb9c63fd8ddf6c1271448e1debb976	False
1K6G	/storage9920/home/tinghao.xia/pdb_data/1k6g.cif	1281962	e210ef905a49049243ba110d3dc8cb6d3a3921707f9b34f276f0b63915ec7a74	False
1K6H	/storage9920/home/tinghao.xia/pdb_data/1k6h.cif	1291475	c86950aaee4d5894033d857e2fd61ad5a68b5de001bbd4869cfd8e4680b75871	False
1K8S	/storage9920/home/tinghao.xia/pdb_data/1k8s.cif	103719	864323d8af0ee53b5519dddeef24300278af2771b99318a591fb11bba5ffbbbf	False
1K9W	/storage9920/home/tinghao.xia/pdb_data/1k9w.cif	236662	b1506dcb66378483226c219081750a5db70f89fde292a484d59f2190e8b931ef	False
1KAJ	/storage9920/home/tinghao.xia/pdb_data/1kaj.cif	119101	0daacc340f587d23d609a8ec72d5d533226f2f3df64bb49bbbb6317d505e9d04	False
1KD3	/storage9920/home/tinghao.xia/pdb_data/1kd3.cif	100561	8e51d791b76ee0e868db887607c18fce57b5592d20d2aef975ef86559f301f6d	False
1KD4	/storage9920/home/tinghao.xia/pdb_data/1kd4.cif	106865	54723f2a937e297ff560cff3c1466a339ddae4f81e36bbf8cb95ea11c73e2c26	False
1KD5	/storage9920/home/tinghao.xia/pdb_data/1kd5.cif	150975	85ad6b504a5bbdebc14938464d1d040f03979607318d009df3ad55bd7db82994	False
1KFO	/storage9920/home/tinghao.xia/pdb_data/1kfo.cif	92097	00b1ff2033b4bc2fde693969df43455917f4229c76e7c196f8dfb786dd8aa1d6	False
1KH6	/storage9920/home/tinghao.xia/pdb_data/1kh6.cif	145666	8bb30283968071262401885c5922a35ed2fc352fde060f678b2af576a628141a	False
